test,symbol,period,horizon_bars,n,hit_rate,avg_ret,sharpe
btc_impulse_alt_lag,ADA/USDT,OOS,1,2,1.0,0.021894139531975387,1.9518075849156828
btc_impulse_alt_lag,ADA/USDT,OOS,3,2,1.0,0.03640665301464718,0.9154296515117152
btc_impulse_alt_lag,ADA/USDT,OOS,6,2,0.5,0.01151365462475179,0.5200116107346091
btc_impulse_alt_lag,ADA/USDT,full,1,144,0.5138888888888888,0.0006528823371349315,0.025935907705944717
btc_impulse_alt_lag,ADA/USDT,full,3,144,0.4861111111111111,0.0015361538700809872,0.03281621812905242
btc_impulse_alt_lag,ADA/USDT,full,6,144,0.375,0.001006433068689384,0.015793868097452382
ethbtc_above_ma,ADA/USDT,IS,42,5585,0.48415398388540737,0.017766388125689203,0.10887623844824793
ethbtc_below_ma,ADA/USDT,IS,42,9919,0.4735356386732534,0.01031312358720717,0.07323546856729994
ethbtc_above_ma,ADA/USDT,OOS,42,1182,0.3536379018612521,-0.030415268283625167,-0.3125618617593079
ethbtc_below_ma,ADA/USDT,OOS,42,967,0.4922440537745605,0.00324499512228275,0.036560007509325344
ethbtc_above_ma,ADA/USDT,full,42,6767,0.461356583419536,0.009350440456735516,0.060402921112794286
ethbtc_below_ma,ADA/USDT,full,42,10886,0.4751975013779166,0.009685263930254944,0.07068943432578562
alt_btc_rs_breakout,DOT/USDT,IS,6,384,0.4583333333333333,0.0017264084889760407,0.029295104587156503
alt_btc_rs_breakout,DOT/USDT,IS,18,384,0.4270833333333333,-0.007578462122077014,-0.09020223727526645
alt_btc_rs_breakout,DOT/USDT,IS,42,384,0.4427083333333333,-0.01937776500142314,-0.14568658610325882
alt_btc_rs_breakout,DOT/USDT,OOS,6,69,0.391304347826087,-0.006218605327901644,-0.14947079023036874
alt_btc_rs_breakout,DOT/USDT,OOS,18,69,0.4492753623188406,-0.015444593725628708,-0.27215739360629426
alt_btc_rs_breakout,DOT/USDT,OOS,42,68,0.35294117647058826,-0.023799181478283554,-0.32438798602731744
alt_btc_rs_breakout,DOT/USDT,full,6,453,0.4481236203090508,0.0005162408215046049,0.009109797460721816
alt_btc_rs_breakout,DOT/USDT,full,18,453,0.4304635761589404,-0.008776614617982237,-0.1090815020333344
alt_btc_rs_breakout,DOT/USDT,full,42,452,0.42920353982300885,-0.020042933851924266,-0.1593204250775337
btc_impulse_alt_lag,DOT/USDT,IS,1,85,0.43529411764705883,-0.0004912953498753836,-0.014900664649978078
btc_impulse_alt_lag,DOT/USDT,IS,3,85,0.4588235294117647,0.002695020525519589,0.055782680498673486
btc_impulse_alt_lag,DOT/USDT,IS,6,85,0.4588235294117647,0.004978996468780283,0.07114720188240718
btc_impulse_alt_lag,DOT/USDT,OOS,1,5,0.8,0.006955698534720734,0.49621163684777164
btc_impulse_alt_lag,DOT/USDT,OOS,3,5,0.8,0.015351705725424481,0.32851445630097204
btc_impulse_alt_lag,DOT/USDT,OOS,6,5,0.4,0.02590256812387488,0.3838072466559749
btc_impulse_alt_lag,DOT/USDT,full,1,90,0.45555555555555555,-7.75734673978216e-05,-0.0024079862268030078
btc_impulse_alt_lag,DOT/USDT,full,3,90,0.4777777777777778,0.003398169703292083,0.07070860581796722
